location,price,bedrooms,bathrooms,size_sqft,year_built,price_per_sqft,property_age,listing_category,listing_category_order
Suburb,165522.3959339794,2,1,2140.0,1974,77.34691398784084,51.0,Budget,1.0
Urban,389375.2606347824,5,3,2889.0,2019,134.7785602751064,6.0,High-End,3.0
Suburb,203678.13499641983,4,1,1266.0,1951,160.88320299875184,74.0,Mid-Range,2.0
Urban,231516.57642735125,4,2,2845.0,1984,81.37665252279481,41.0,Mid-Range,2.0
Suburb,345305.8562944461,4,2,2708.0,1961,127.51324087682647,64.0,High-End,3.0
Urban,277777.8740238248,3,1,2582.0,2001,107.5824454003969,24.0,High-End,3.0
Rural,176463.11174864636,3,2,2163.0,2012,81.58257593557391,13.0,Budget,1.0
Urban,145011.4061663879,5,3,1245.0,1973,116.47502503324328,52.0,Budget,1.0
Rural,312011.84039169,2,1,2684.0,2020,116.24882279869226,5.0,High-End,3.0
Rural,241517.2468999309,4,3,2781.0,1961,86.84546814093164,64.0,Mid-Range,2.0
Urban,147980.01567556063,3,1,1394.0,1973,106.15496102981393,52.0,Budget,1.0
Rural,194798.93113060872,3,2,2510.0,1970,77.60913590860905,55.0,Mid-Range,2.0
Rural,157014.2286393206,2,2,1475.0,1990,106.45032450123429,35.0,Budget,1.0
Rural,260608.5027222914,4,2,2540.0,2005,102.60177272531158,20.0,High-End,3.0
Suburb,274929.0690039708,4,2,1976.0,1951,139.13414423277877,74.0,High-End,3.0
Suburb,257837.04827262805,2,3,2207.0,1977,116.82693623589853,48.0,Mid-Range,2.0
Urban,214999.5659715823,5,3,2043.0,2001,105.23718353968786,24.0,Mid-Range,2.0
Urban,300450.9708264213,5,1,2960.0,2014,101.50370636027746,11.0,High-End,3.0
Suburb,253579.1750886157,2,2,1557.0,1975,162.86395317187907,50.0,Mid-Range,2.0
Urban,222278.73776010112,2,2,2017.0,2020,110.2026463857715,5.0,Mid-Range,2.0
Urban,258466.3410912814,5,3,2547.0,2018,101.47873619602726,7.0,Mid-Range,2.0
Suburb,273074.43108174665,2,2,2605.0,1962,104.82703688358797,63.0,High-End,3.0
Suburb,353528.6576337589,4,2,2552.0,1990,138.53003825774252,35.0,High-End,3.0
Suburb,238544.91304294896,5,2,1882.0,1966,126.75075081984535,59.0,Mid-Range,2.0
Suburb,202634.6626083333,5,3,1146.0,1959,176.81907731966257,66.0,Mid-Range,2.0
Rural,157855.56617292238,5,3,1665.0,1962,94.80814785160503,63.0,Budget,1.0
Suburb,267464.8867492508,4,2,2327.0,1972,114.93978803147864,53.0,High-End,3.0
Suburb,152592.76315969104,2,3,1619.0,1971,94.25124345873442,54.0,Budget,1.0
Suburb,371378.011696835,3,2,2771.0,1958,134.0231005762667,67.0,High-End,3.0
Suburb,250709.27572590532,3,1,1819.0,2005,137.82807901369176,20.0,Mid-Range,2.0
Suburb,252097.71188326445,4,2,1863.0,2006,135.31814915902547,19.0,Mid-Range,2.0
Rural,175671.4289010316,4,2,1581.0,1967,111.11412327705985,58.0,Budget,1.0
Suburb,291850.43657080753,2,1,2022.0,1984,144.33750572245674,41.0,High-End,3.0
Rural,176289.55568991788,3,2,1694.0,2003,104.06703405544148,22.0,Budget,1.0
Rural,356441.1138476141,5,2,2785.0,1985,127.98603728819178,40.0,High-End,3.0
Rural,337270.6122502071,4,1,2251.0,1954,149.83145812981212,71.0,High-End,3.0
Urban,286505.2523433451,3,2,2125.0,1990,134.82600110275064,35.0,High-End,3.0
Rural,306545.1981991349,5,1,2610.0,2009,117.45026750924708,16.0,High-End,3.0
Suburb,196916.6361245901,5,1,2440.0,1959,80.7035393953238,66.0,Mid-Range,2.0
Suburb,373322.709223063,2,2,2981.0,1963,125.23405207080276,62.0,High-End,3.0
Urban,179116.08822345457,4,2,2239.0,1986,79.9982528912258,39.0,Budget,1.0
Suburb,145345.48536232184,5,2,1406.0,2000,103.37516739852194,25.0,Budget,1.0
Rural,171866.2085995957,4,1,1398.0,1951,122.93720214563355,74.0,Budget,1.0
Rural,308601.60610278865,3,1,2946.0,1996,104.75275156238582,29.0,High-End,3.0
Rural,251929.10264131287,3,3,1714.0,1969,146.98314039749874,56.0,Mid-Range,2.0
Rural,105367.62916150368,4,1,1703.0,1969,61.8717728487984,56.0,Budget,1.0
Urban,209375.89232371884,5,3,1760.0,1991,118.96357518393116,34.0,Mid-Range,2.0
Rural,160602.68564903742,5,1,1498.0,1958,107.2114056402119,67.0,Budget,1.0
Suburb,285345.94625929854,3,2,2777.0,1990,102.75331158059004,35.0,High-End,3.0
Suburb,426908.68247993867,5,2,2488.0,1996,171.58709102891424,29.0,High-End,3.0
Rural,299599.0700213658,5,2,2714.0,2001,110.39022476837356,24.0,High-End,3.0
Urban,298219.25803589856,3,3,2972.0,2015,100.34295357870073,10.0,High-End,3.0
Urban,313510.6083444408,2,2,1973.0,1959,158.900460387451,66.0,High-End,3.0
Rural,242996.11417015104,3,1,2754.0,1988,88.23388314094083,37.0,Mid-Range,2.0
Rural,191655.37612046776,4,2,1081.0,1989,177.2945200004327,36.0,Mid-Range,2.0
Rural,193898.47669651543,2,2,1603.0,1961,120.95974840705891,64.0,Mid-Range,2.0
Suburb,359479.6195872599,4,1,2970.0,1978,121.03690895193935,47.0,High-End,3.0
Suburb,261861.51272759377,2,3,2710.0,2006,96.62786447512686,19.0,High-End,3.0
Urban,297564.6902834572,2,2,2774.0,1980,107.26917457947269,45.0,High-End,3.0
Suburb,233188.3072424796,3,3,1771.0,1969,131.6704162859851,56.0,Mid-Range,2.0
Urban,231595.3282582023,3,3,1902.0,1960,121.76410528822413,65.0,Mid-Range,2.0
Urban,174258.48742064508,4,2,1364.0,1985,127.75548931132337,40.0,Budget,1.0
Urban,228139.11472567605,3,1,1162.0,1971,196.3331452028193,54.0,Mid-Range,2.0
Suburb,94290.36691020912,2,3,2071.0,1995,45.528907247807396,30.0,Budget,1.0
Suburb,181045.7861215655,3,1,1510.0,2010,119.89787160368576,15.0,Budget,1.0
Urban,353792.1915551114,4,3,2352.0,2021,150.42185015098272,4.0,High-End,3.0
Urban,327451.0313843393,2,2,2863.0,1969,114.3733955236952,56.0,High-End,3.0
Rural,91001.75417054068,4,1,1115.0,1988,81.61592302290644,37.0,Budget,1.0
Urban,242090.5248730481,5,1,1940.0,1970,124.788930346932,55.0,Mid-Range,2.0
Urban,419879.2735243146,3,3,2872.0,2005,146.1975186365998,20.0,High-End,3.0
Rural,74239.92963583849,2,1,1336.0,1988,55.56880960766354,37.0,Budget,1.0
Urban,184639.05064003123,4,2,1880.0,1979,98.21226097874002,46.0,Budget,1.0
Suburb,198342.53464805247,3,1,1736.0,1960,114.25261212445419,65.0,Mid-Range,2.0
Suburb,365194.39761849015,3,1,2887.0,1978,126.4961543534777,47.0,High-End,3.0
Urban,236640.0339962292,4,3,1839.0,1961,128.67864817630735,64.0,Mid-Range,2.0
Rural,208399.07923315588,2,1,1146.0,2001,181.84910927849552,24.0,Mid-Range,2.0
Rural,286274.05865323835,4,1,2598.0,1968,110.19016884266296,57.0,High-End,3.0
Suburb,317694.63230656506,3,2,2829.0,1982,112.29926910801169,43.0,High-End,3.0
Suburb,254631.51380828457,4,1,2346.0,1974,108.53858218596955,51.0,Mid-Range,2.0
Rural,152902.47251904337,5,2,1442.0,1966,106.03500174690942,59.0,Budget,1.0
Urban,233138.53713180652,3,1,1836.0,1981,126.98177403693165,44.0,Mid-Range,2.0
Urban,239701.54274144664,2,1,2036.0,1983,117.73160252526849,42.0,Mid-Range,2.0
Urban,255951.70006592988,5,2,1942.0,1950,131.79799179502052,75.0,Mid-Range,2.0
Urban,337159.59052956564,4,1,2517.0,2010,133.95295611027638,15.0,High-End,3.0
Rural,278196.82633276883,2,1,2724.0,2011,102.12805665666991,14.0,High-End,3.0
Rural,157496.05013075573,5,3,1286.0,1986,122.46971238783493,39.0,Budget,1.0
Rural,239433.04955475905,4,3,1719.0,2014,139.28624174215187,11.0,Mid-Range,2.0
Urban,147774.74532893137,5,1,2137.0,1951,69.15055934905538,74.0,Budget,1.0
Urban,95984.88300790846,3,2,1479.0,1965,64.89850101954595,60.0,Budget,1.0
Suburb,191273.0367909413,2,3,1021.0,2004,187.338919481823,21.0,Mid-Range,2.0
Rural,216848.4171057868,5,1,2372.0,1992,91.4200746651715,33.0,Mid-Range,2.0
Rural,304295.29405293526,3,3,2749.0,1998,110.69308623242462,27.0,High-End,3.0
Urban,208626.40358636744,4,1,1682.0,1967,124.03472270295329,58.0,Mid-Range,2.0
Urban,362477.1444612667,3,2,2858.0,1982,126.82895187588058,43.0,High-End,3.0
Urban,261443.06596795475,4,3,2589.0,1964,100.98225800230001,61.0,High-End,3.0
Urban,244659.93184575328,2,3,1905.0,2014,128.43041041771826,11.0,Mid-Range,2.0
Rural,260332.9333270136,3,1,2833.0,2007,91.8930227063232,18.0,High-End,3.0
Urban,124516.29237582294,3,2,1319.0,1975,94.40204122503634,50.0,Budget,1.0
Suburb,115182.12525522748,4,2,1125.0,1985,102.38411133797999,40.0,Budget,1.0
Urban,142596.30096083996,5,2,1276.0,1951,111.75258695990593,74.0,Budget,1.0
Suburb,287295.36870312114,4,1,2999.0,1996,95.79705525279131,29.0,High-End,3.0
Suburb,245309.8737224622,5,2,2227.0,1973,110.15261505274458,52.0,Mid-Range,2.0
Urban,160966.5545634553,4,2,1193.0,2006,134.92586300373455,19.0,Budget,1.0
Urban,334670.6241644762,2,1,2704.0,2021,123.76872195431811,4.0,High-End,3.0
Suburb,242187.3612696511,5,2,2687.0,2013,90.13299637873133,12.0,Mid-Range,2.0
Urban,219151.51165732057,3,2,2570.0,1985,85.27296173436598,40.0,Mid-Range,2.0
Suburb,155935.67394183198,5,3,1695.0,1971,91.9974477532932,54.0,Budget,1.0
Suburb,261625.0113672042,4,2,2309.0,1959,113.30663116812654,66.0,High-End,3.0
Urban,164034.16907406985,4,3,1056.0,1990,155.33538738074796,35.0,Budget,1.0
Suburb,286397.09875766933,5,3,2757.0,1990,103.87997778660477,35.0,High-End,3.0
Suburb,324337.8014798314,3,3,2326.0,2008,139.440155408354,17.0,High-End,3.0
Suburb,258730.79409177805,2,3,2186.0,1962,118.35809427803204,63.0,Mid-Range,2.0
Rural,141175.59842434386,3,2,1018.0,1985,138.67936976851067,40.0,Budget,1.0
Urban,322070.37071495707,5,3,2393.0,2013,134.5885376995224,12.0,High-End,3.0
Urban,206155.61897451637,4,3,1263.0,1990,163.22693505504068,35.0,Mid-Range,2.0
Rural,229481.7675763719,3,3,1793.0,1984,127.98760043300162,41.0,Mid-Range,2.0
Suburb,70187.86381431471,4,2,1112.0,2011,63.11858256682978,14.0,Budget,1.0
Rural,396186.3509186813,4,1,2511.0,1970,157.7803070165995,55.0,High-End,3.0
Suburb,220788.6714986337,3,3,2350.0,1952,93.95262616963136,73.0,Mid-Range,2.0
Urban,267047.58636476327,5,3,1541.0,2017,173.29499439634216,8.0,High-End,3.0
Urban,75404.70922893625,3,1,1646.0,1999,45.8108804550038,26.0,Budget,1.0
Urban,152740.18463911835,2,2,1578.0,1967,96.79352638727399,58.0,Budget,1.0
Suburb,228160.2904684918,4,3,2088.0,2016,109.27216976460335,9.0,Mid-Range,2.0
Rural,311436.6131490037,4,2,2315.0,1951,134.52985449201023,74.0,High-End,3.0
Rural,166975.69303160525,5,3,1024.0,2018,163.062200226177,7.0,Budget,1.0
Rural,316432.2695432006,4,2,2572.0,2009,123.02965378818064,16.0,High-End,3.0
Suburb,225548.42365324788,4,2,1000.0,2009,225.54842365324788,16.0,Mid-Range,2.0
Urban,315581.23469978245,4,3,1910.0,1959,165.22577732972903,66.0,High-End,3.0
Urban,332974.1110857984,3,3,2572.0,1991,129.46116294160126,34.0,High-End,3.0
Urban,117900.96969265604,4,2,1140.0,1959,103.42190323917197,66.0,Budget,1.0
Urban,299393.03927366814,3,3,2767.0,1955,108.20131524165816,70.0,High-End,3.0
Rural,138120.766248654,5,1,1647.0,2020,83.86203172353005,5.0,Budget,1.0
Urban,351125.8731635058,2,2,2924.0,1993,120.08408794921539,32.0,High-End,3.0
Urban,104820.49838426836,4,1,1187.0,2016,88.30707530266922,9.0,Budget,1.0
Urban,219018.0551227873,2,3,2151.0,1995,101.82150400873422,30.0,Mid-Range,2.0
Urban,125622.77328122754,3,1,1200.0,1954,104.68564440102294,71.0,Budget,1.0
Suburb,256300.7421903172,5,1,2150.0,2021,119.2096475303801,4.0,Mid-Range,2.0
Suburb,146013.21027256091,5,2,1256.0,2005,116.25255594949117,20.0,Budget,1.0
Rural,270296.91882520507,3,1,2699.0,2016,100.14706143949799,9.0,High-End,3.0
Urban,172150.81548002054,2,3,1546.0,1958,111.35240328591237,67.0,Budget,1.0
Suburb,182827.1201107063,4,2,1193.0,1978,153.2498911238108,47.0,Budget,1.0
Rural,251972.05970888404,3,3,1702.0,1969,148.04468843060167,56.0,Mid-Range,2.0
Suburb,242618.2580524561,3,3,2127.0,2001,114.06594172658961,24.0,Mid-Range,2.0
Rural,273453.9878275836,3,1,2558.0,2008,106.9014807770069,17.0,High-End,3.0
Rural,250536.2404728447,3,3,2288.0,1983,109.5001051017678,42.0,Mid-Range,2.0
Urban,95067.63676047996,3,1,1801.0,2006,52.786028184608526,19.0,Budget,1.0
Rural,243472.88767771883,5,2,1941.0,1990,125.43683033370367,35.0,Mid-Range,2.0
Urban,219808.29889002568,3,2,2997.0,1995,73.34277573908098,30.0,Mid-Range,2.0
Urban,288029.9466270576,5,1,2407.0,2012,119.66345933820425,13.0,High-End,3.0
Urban,332368.8849874081,2,2,2283.0,2007,145.5842685008358,18.0,High-End,3.0
Rural,122561.92902586616,4,2,1413.0,2000,86.73880327379064,25.0,Budget,1.0
Rural,210605.225976174,5,2,2381.0,1999,88.45242586147585,26.0,Mid-Range,2.0
Rural,242235.810091293,4,2,2098.0,1963,115.46034799394329,62.0,Mid-Range,2.0
Urban,196332.38300144463,4,1,2378.0,1985,82.56197771297083,40.0,Mid-Range,2.0
Rural,236200.2175330367,4,1,2607.0,2014,90.60230822134127,11.0,Mid-Range,2.0
Suburb,389534.8022960194,5,3,2794.0,2020,139.41832580387236,5.0,High-End,3.0
Urban,226052.7698128436,5,3,1909.0,1957,118.41423248446495,68.0,Mid-Range,2.0
Suburb,70820.84359104613,5,2,1187.0,1978,59.66372669843818,47.0,Budget,1.0
Rural,369236.2744931432,2,1,2996.0,1971,123.24308227407984,54.0,High-End,3.0
Suburb,266276.96760145365,5,1,2708.0,1961,98.3297516992074,64.0,High-End,3.0
Suburb,311834.2036758142,2,1,2313.0,2007,134.818073357464,18.0,High-End,3.0
Suburb,95602.80543594452,5,3,1044.0,1956,91.57356842523421,69.0,Budget,1.0
Urban,343825.94089320325,5,2,2596.0,1979,132.44450727781327,46.0,High-End,3.0
Rural,232660.5110355735,4,1,1082.0,1967,215.02819873897735,58.0,Mid-Range,2.0
Urban,256719.6802848259,3,3,2146.0,2002,119.62706443840909,23.0,Mid-Range,2.0
Rural,202068.3006619648,4,1,1357.0,1981,148.9081066042482,44.0,Mid-Range,2.0
Urban,282960.8377250724,5,1,2551.0,1971,110.92153576051446,54.0,High-End,3.0
Suburb,267768.95586702315,3,3,2089.0,1990,128.1804479976176,35.0,High-End,3.0
Suburb,290429.6901187273,3,3,1935.0,1963,150.09286311045338,62.0,High-End,3.0
Urban,210205.71367993797,2,1,2680.0,1961,78.43496779102163,64.0,Mid-Range,2.0
Suburb,93591.25075109936,3,2,1374.0,2004,68.11590302117857,21.0,Budget,1.0
Suburb,8336.559189274369,2,2,1161.0,1972,7.180498871037354,53.0,Budget,1.0
Rural,371453.4798541499,4,3,2769.0,2000,134.14715776603464,25.0,High-End,3.0
Rural,207958.8474789752,2,1,2403.0,1951,86.5413431040263,74.0,Mid-Range,2.0
Urban,346336.1200281468,5,3,2679.0,1965,129.27813364245867,60.0,High-End,3.0
Rural,361918.4000597631,3,1,2381.0,1972,152.0026879713411,53.0,High-End,3.0
Urban,352696.5612229836,5,1,2211.0,1976,159.5190236196217,49.0,High-End,3.0
Urban,117115.50682174304,3,1,1321.0,2001,88.65670463417338,24.0,Budget,1.0
Rural,180873.74527816245,3,3,1449.0,2020,124.82660129617837,5.0,Budget,1.0
Urban,299364.90881858143,4,3,2497.0,1960,119.8898313250226,65.0,High-End,3.0
Suburb,265906.97587288124,2,3,2036.0,1963,130.60264040907722,62.0,High-End,3.0
Suburb,85660.50372290658,4,3,1183.0,2020,72.40955513347978,5.0,Budget,1.0
Suburb,223214.49350531245,2,2,1110.0,1960,201.09413829307428,65.0,Mid-Range,2.0
Urban,341504.0146301986,4,1,2950.0,1994,115.76407275599952,31.0,High-End,3.0
Rural,319431.9232138436,4,3,1507.0,1982,211.96544340666463,43.0,High-End,3.0
Urban,241338.52412073428,3,1,2313.0,1969,104.34004501544932,56.0,Mid-Range,2.0
Suburb,186570.68924481084,4,2,1294.0,2017,144.18136726801455,8.0,Budget,1.0
Suburb,295325.99415799725,4,3,2474.0,1986,119.37186505982103,39.0,High-End,3.0
Suburb,177992.5106435165,2,2,1903.0,2011,93.53258572964609,14.0,Budget,1.0
Rural,207578.188226946,4,3,2238.0,1982,92.75164800131635,43.0,Mid-Range,2.0
Suburb,218965.9636829585,3,1,1973.0,1985,110.98122842521973,40.0,Mid-Range,2.0
Urban,102568.11461610829,4,2,1631.0,1950,62.88664292833126,75.0,Budget,1.0
Suburb,307147.23470213154,5,2,2917.0,1991,105.29558954478284,34.0,High-End,3.0
Rural,351277.9661773439,5,3,2590.0,2006,135.62855836963087,19.0,High-End,3.0
Urban,184106.0041106164,2,1,2050.0,1956,89.80780688322751,69.0,Budget,1.0
Suburb,227113.5871916383,2,1,2653.0,2021,85.60632762594734,4.0,Mid-Range,2.0
Rural,166407.45259314697,5,1,1732.0,2021,96.07820588518878,4.0,Budget,1.0
Rural,224645.02240821364,4,1,2254.0,1976,99.6650498705473,49.0,Mid-Range,2.0
Suburb,254417.53854015603,4,3,2588.0,2016,98.3066223107249,9.0,Mid-Range,2.0
Rural,173254.7482229939,2,2,2830.0,2009,61.220759089397134,16.0,Budget,1.0
Suburb,216311.8699610521,3,3,1320.0,2020,163.87262875837283,5.0,Mid-Range,2.0
Urban,302151.62970125733,4,1,1912.0,1987,158.02909503203836,38.0,High-End,3.0
Urban,197072.19125687465,5,2,2256.0,1967,87.35469470606145,58.0,Mid-Range,2.0
Rural,267026.18027353793,3,2,2693.0,1968,99.15565550447008,57.0,High-End,3.0
Urban,194336.01522496843,3,1,1436.0,1972,135.33148692546547,53.0,Mid-Range,2.0
Suburb,277908.4122637436,4,3,1780.0,1992,156.12832149648517,33.0,High-End,3.0
Urban,217886.8038703777,3,3,2556.0,1957,85.24522843129019,68.0,Mid-Range,2.0
Urban,229287.61910482516,2,1,2426.0,2008,94.51262123034837,17.0,Mid-Range,2.0
Suburb,282822.3298723584,3,2,2076.0,2009,136.23426294429595,16.0,High-End,3.0
Suburb,356735.8740729308,2,2,2810.0,1977,126.95226835335615,48.0,High-End,3.0
Rural,166973.44758357608,4,3,2336.0,1995,71.47835941077743,30.0,Budget,1.0
Suburb,219923.6028415017,3,2,2304.0,1962,95.45295262217957,63.0,Mid-Range,2.0
Suburb,210289.9610934996,5,1,1725.0,2004,121.9072238223186,21.0,Mid-Range,2.0
Urban,155480.90971086852,5,2,1030.0,1989,150.95233952511506,36.0,Budget,1.0
Suburb,123653.10581068353,2,3,1336.0,1952,92.55471991817629,73.0,Budget,1.0
Suburb,93579.83343000738,2,3,1182.0,1972,79.1707558629504,53.0,Budget,1.0
Urban,215965.6502006418,4,1,2046.0,1971,105.55505874909178,54.0,Mid-Range,2.0
Rural,199217.91206439375,3,3,1543.0,1984,129.11076608191428,41.0,Mid-Range,2.0
Suburb,173304.12765918643,2,1,2469.0,1952,70.192032263745,73.0,Budget,1.0
Urban,147501.72958579374,2,2,2097.0,2001,70.33940371282486,24.0,Budget,1.0
Rural,245323.8642052313,4,2,2033.0,1992,120.67086286533758,33.0,Mid-Range,2.0
Rural,279307.3825519189,3,2,2507.0,1997,111.41100221456678,28.0,High-End,3.0
Rural,255021.1285573848,3,1,2479.0,1975,102.87258110422945,50.0,Mid-Range,2.0
Rural,304956.68919805315,2,3,2589.0,2017,117.78937396603057,8.0,High-End,3.0
Urban,306022.5719178636,3,1,2587.0,2007,118.29245145646063,18.0,High-End,3.0
Rural,177904.75597050984,3,2,1659.0,1999,107.23613982550322,26.0,Budget,1.0
Urban,129085.83793495117,3,2,1159.0,2001,111.37690934853423,24.0,Budget,1.0
Rural,288533.0590235478,5,2,2905.0,1992,99.32291188418169,33.0,High-End,3.0
Urban,210863.67427644276,3,2,2037.0,1977,103.51677676801314,48.0,Mid-Range,2.0
Rural,255837.3011615048,5,2,2201.0,1997,116.23684741549513,28.0,Mid-Range,2.0
Urban,174929.03516190732,3,1,1411.0,2001,123.97521981708528,24.0,Budget,1.0
Suburb,204997.1862336805,3,2,2901.0,1986,70.66431790199259,39.0,Mid-Range,2.0
Suburb,205446.08194333737,3,1,2011.0,1968,102.1611546212518,57.0,Mid-Range,2.0
Urban,140942.4597476993,2,1,1052.0,1972,133.9757221936305,53.0,Budget,1.0
Rural,143653.74604184146,2,2,1407.0,2003,102.09932199135854,22.0,Budget,1.0
Suburb,291200.51816639176,5,2,1846.0,2017,157.74675957009305,8.0,High-End,3.0
Suburb,212151.4966913488,3,2,2045.0,2014,103.74156317425368,11.0,Mid-Range,2.0
Urban,235166.07876799465,5,1,2053.0,1985,114.54752984315375,40.0,Mid-Range,2.0
Urban,229619.11793469545,3,3,1702.0,1992,134.91135013789392,33.0,Mid-Range,2.0
Urban,134355.51881529437,4,1,1259.0,2003,106.71605942437996,22.0,Budget,1.0
Urban,372551.4461801965,5,2,2228.0,1956,167.21339595161422,69.0,High-End,3.0
Urban,208341.67649696,2,1,2082.0,1951,100.06804826943323,74.0,Mid-Range,2.0
Suburb,199194.8547919949,4,3,2494.0,2019,79.86962902646147,6.0,Mid-Range,2.0
Urban,131033.77354241782,2,3,1775.0,1979,73.82184424924948,46.0,Budget,1.0
Rural,265565.8403532726,4,3,2489.0,1986,106.69579765097333,39.0,High-End,3.0
Urban,243045.4761884978,4,1,2035.0,1977,119.43266643169424,48.0,Mid-Range,2.0
Rural,256877.8750948556,4,3,2654.0,2005,96.78895067628319,20.0,Mid-Range,2.0
Suburb,391722.2206564887,5,3,2950.0,2013,132.7871934428775,12.0,High-End,3.0
Suburb,368543.1829164931,5,1,2997.0,2002,122.9706983371682,23.0,High-End,3.0
Urban,263364.59082523925,2,2,2313.0,1961,113.86277164947654,64.0,High-End,3.0
Suburb,254601.94939852683,5,3,1849.0,2007,137.6971062187814,18.0,Mid-Range,2.0
Suburb,349165.23631045927,2,1,2783.0,1961,125.4636134784259,64.0,High-End,3.0
Rural,133042.7603315108,3,3,1353.0,1956,98.33167799816023,69.0,Budget,1.0
Suburb,281569.66258291586,2,1,2662.0,1992,105.77372749170392,33.0,High-End,3.0
Urban,168533.1239131368,2,2,2098.0,2016,80.33037364782498,9.0,Budget,1.0
Suburb,327890.73631409585,5,1,1872.0,1985,175.15530786009393,40.0,High-End,3.0
Suburb,261387.43801285265,2,1,2739.0,2008,95.43170427632444,17.0,High-End,3.0
Rural,192298.3291022197,5,3,2584.0,1981,74.41885801169492,44.0,Mid-Range,2.0
Rural,253204.53676214835,2,1,2614.0,1996,96.86478070472393,29.0,Mid-Range,2.0
Urban,246663.92967124024,3,2,2464.0,1956,100.10711431462673,69.0,Mid-Range,2.0
Suburb,262715.02810450894,5,1,1990.0,1996,132.0176020625673,29.0,High-End,3.0
Suburb,287178.208093054,5,1,2264.0,1991,126.84549827431714,34.0,High-End,3.0
Rural,261654.24789949047,3,1,2017.0,2010,129.72446598884008,15.0,High-End,3.0
Suburb,313504.2413323886,5,2,2884.0,2000,108.70466065616803,25.0,High-End,3.0
Rural,255524.75212447075,2,2,2177.0,2005,117.37471388354192,20.0,Mid-Range,2.0
Urban,194775.36445587792,4,1,2809.0,1985,69.33975238728299,40.0,Mid-Range,2.0
Rural,224268.1111155939,5,1,2119.0,1992,105.83676786955823,33.0,Mid-Range,2.0
Urban,381301.4697432003,4,1,2749.0,1972,138.7055182769008,53.0,High-End,3.0
Suburb,230656.5458625645,2,3,1293.0,1962,178.3886665603747,63.0,Mid-Range,2.0
Suburb,103279.67944879243,3,2,1208.0,1994,85.49642338476195,31.0,Budget,1.0
Rural,260777.2308945946,5,1,2366.0,2021,110.21860984555985,4.0,High-End,3.0
Urban,223531.7186498642,4,1,2111.0,1999,105.88901878250317,26.0,Mid-Range,2.0
Rural,129731.05918715934,3,2,1817.0,1980,71.39849157245973,45.0,Budget,1.0
Suburb,311179.84056943347,3,3,2799.0,1987,111.17536283295229,38.0,High-End,3.0
Rural,299961.8220235842,5,1,2960.0,2018,101.33845338634602,7.0,High-End,3.0
Suburb,107121.55607614123,4,2,1389.0,1980,77.12135066676835,45.0,Budget,1.0
Rural,86105.70702939913,5,3,1324.0,2003,65.03452192552804,22.0,Budget,1.0
Urban,257530.9607257832,2,2,1939.0,1957,132.8163799514096,68.0,Mid-Range,2.0
Urban,128579.78913794098,3,2,1888.0,1961,68.10370187390942,64.0,Budget,1.0
Urban,337156.79745427374,4,1,2855.0,2008,118.09344919589273,17.0,High-End,3.0
Rural,293130.67049797287,5,2,2180.0,2018,134.46361032017103,7.0,High-End,3.0
Suburb,157531.77729004365,3,1,1667.0,2004,94.50016634075804,21.0,Budget,1.0
Rural,327005.4591958142,5,3,2674.0,1981,122.29074764241369,44.0,High-End,3.0
Suburb,105857.89823132842,4,1,1632.0,1975,64.86390822998065,50.0,Budget,1.0
Urban,211278.28700390508,2,2,1576.0,1961,134.05982677912758,64.0,Mid-Range,2.0
Urban,315578.0209232932,2,2,2642.0,1958,119.44663925938426,67.0,High-End,3.0
Rural,290868.0612501024,2,2,2682.0,1950,108.45192440346847,75.0,High-End,3.0
Suburb,163480.76460239926,5,1,1136.0,1964,143.90912376971767,61.0,Budget,1.0
Suburb,321650.4015232087,3,3,2946.0,1984,109.18207791011837,41.0,High-End,3.0
Suburb,227344.83809926856,2,3,2697.0,1957,84.29545350362201,68.0,Mid-Range,2.0
Rural,174720.04402546005,2,2,1427.0,1955,122.43871340256486,70.0,Budget,1.0
Suburb,274858.0687803807,2,1,2475.0,1971,111.05376516379019,54.0,High-End,3.0
Rural,202026.19040829956,2,2,1611.0,1989,125.40421502687744,36.0,Mid-Range,2.0
Urban,309502.55739372974,4,1,2873.0,1985,107.72800466193169,40.0,High-End,3.0
Urban,213173.11683972584,4,3,1910.0,1996,111.60896169619154,29.0,Mid-Range,2.0
Urban,233891.5105284455,3,1,1818.0,1994,128.65319611025606,31.0,Mid-Range,2.0
Urban,,4,1,1140.0,2020,,5.0,,
Rural,276339.10477820854,4,2,2106.0,2017,131.2151494673355,8.0,High-End,3.0
Rural,117462.6768997454,4,1,1176.0,2004,99.88322865624609,21.0,Budget,1.0
Rural,154616.6559199791,5,3,1197.0,2020,129.1701386131822,5.0,Budget,1.0
Urban,143028.1254473787,4,3,1623.0,1987,88.12577045433068,38.0,Budget,1.0
Urban,346719.23908080923,5,3,2591.0,2004,133.81676537275538,21.0,High-End,3.0
Suburb,375438.25630537607,5,2,2995.0,1965,125.35501045254627,60.0,High-End,3.0
Rural,199628.2251772404,4,1,1690.0,1994,118.12321016404758,31.0,Mid-Range,2.0
Suburb,219361.71709673916,5,1,2444.0,1973,89.75520339473779,52.0,Mid-Range,2.0
Urban,105502.0307404808,2,2,1400.0,1998,75.3585933860577,27.0,Budget,1.0
Suburb,287963.4562780949,3,3,2721.0,2001,105.83000965751374,24.0,High-End,3.0
Urban,107001.04007036974,4,3,1470.0,1974,72.78982317712227,51.0,Budget,1.0
